Rank,Model,MAE,RMSE,MAPE (%),R2
1,TCN-Ens,5.86,8.11,3.70,0.9773
2,CNN-LSTM-Ens,5.93,8.08,3.76,0.9774
3,LSTM-Ens,6.10,8.31,3.85,0.9761
4,Transformer-Ens,6.18,8.44,3.88,0.9754
5,GRU-Ens,6.21,8.40,3.88,0.9756
6,BiLSTM-Ens,6.20,8.39,3.95,0.9756
7,GRU-TCN-Attention-Ens,6.52,8.90,4.09,0.9726
8,DLinear-Ens,6.54,8.81,4.18,0.9732
9,Proposed-Ens,6.74,9.80,4.27,0.9668
10,LightGBM-Ens,7.22,10.04,4.35,0.9651
11,XGBoost-Ens,7.25,10.13,4.35,0.9645
12,PatchTST-Ens,8.23,11.40,5.29,0.9550
